"","14-3-3_beta","14-3-3_epsilon_Caution","14-3-3_zeta","4E-BP1","4E-BP1_pS65","4E-BP1_pT37_T46","4E-BP1_pT70","53BP1","A-Raf_pS299_Caution","ACC_pS79","ACC1_Caution","Acetyl-a-Tubulin (Lys40)_Caution","ACVRL1_Caution","ADAR1","Akt","Akt_pS473","Akt_pT308","alpha-Catenin","AMPK_alpha_Caution","AMPK_pT172","Annexin 1","Annexin_VII","AR","ASNS","ATM","B-Raf_Caution","B-Raf_pS445","Bad_pS112","Bak_Caution","Bap1 c-4","Bax","Bcl-2","Bcl-xL","Beclin_Caution","beta-Catenin","beta-Catenin_pT41_S45","beta Actin_Caution","Bid_Caution","Bim(CST2933)","Bim(EP1036)","BRCA2_Caution","c-Jun_pS73","c-Kit","c-Met_Caution","c-Met_pY1235","c-Myc_Caution","C-Raf(BD610151)_Caution","C-Raf(MP05-739)","C-Raf_pS338","Caspase-7_cleavedD198_Caution","Caspase-8_Caution","Caveolin-1","CD20 _Caution","CD31","CD49b","CDK1","Chk1_Caution","Chk1_pS345_Caution","Chk2","Chk2_pT68_Caution","cIAP_Caution","Claudin-7","Collagen_VI","Cyclin_B1","Cyclin_D1","Cyclin_E1","Cyclin_E2_Caution","Di-Ras3_Caution","DJ-1","Dvl3","E-Cadherin","eEF2_Caution","eEF2K","EGFR","EGFR_pY1068_Caution","EGFR_pY1173","eIF4E","eIF4G_Caution","ER-alpha","ER-alpha_pS118","ERCC1_Caution","ERK2_Caution","ETS-1","FASN","Fibronectin","FoxM1","FOXO3a_Caution","FOXO3a_pS318_S321_Caution","FRA1_Caution","G6PD","Gab2","GAPDH_Caution","GATA3","GSK-3-BETA_Caution","GSK3-alpha-beta","GSK3-alpha-beta_pS21_S9","GSK3_pS9","HER2","HER2_pY1248_Caution","HER3","HER3_pY1289_Caution","Heregulin","HSP70_Caution","IGFBP2","INPP4B","IRS1","JAK2","JNK_pT183_Y185","JNK2_Caution","Ku80_Caution","Lck","MAPK_pT202_Y204","MDM2_pS166","MDMX_MDM4(BetIHC-00108)_Caution","MEK1","MEK1_pS217_S221","MIG-6","Mre11_Caution","MSH2","MSH6_Caution","mTOR","mTOR_pS2448_Caution","MYH11","Myosin IIa pS1943","N-Cadherin","N-Ras","NDRG1_pT346","NF-kB-p65_pS536_Caution","NF2_Caution","Notch1","P-Cadherin_Caution","p14 Arf(BetA300-340A)_Caution","p21","p27","p27_pT157_Caution","p27_pT198","p38 alpha MAPK","p38_MAPK","p38_pT180_Y182","p53_Caution","p62 Lck ligand_Caution","p70S6K","p70S6K_pT389","p90RSK_Caution","p90RSK_pT359_S363_Caution","p90RSK_pT573_Caution","PAI-1","PARP_cleaved_Caution","Paxillin_Caution","PCNA_Caution","PDCD4_Caution","PDK1","PDK1_pS241","PEA15","PEA15_pS116","PI3K-p110-alpha_Caution","PI3K-p85","PKC-alpha","PKC-alpha_pS657_Caution","PKC-delta_pS664","PKC-pan_BetaII_pS660","Porin","PR","PRAS40_pT246","PRDX1","PREX1","PTEN","Rab25","Rad50","RAD51","Raptor","Rb_Caution","Rb_pS807_S811","RBM15","Rictor_Caution","Rictor_pT1135","RSK1-2-3_Caution","S6_pS235_S236","S6_pS240_S244","SCD1","SETD2_Caution","SF2","Shc_pY317","SHP-2_pY542_Caution","Smac_Caution","Smad1","Smad3","Smad4","Snail_Caution","Src","Src_pY416_Caution","Src_pY527","STAT3_Caution","STAT3_pY705","STAT5-alpha","Stathmin","Syk","TAZ","TFRC","TIGAR","Transglutaminase","TSC1_Caution","TTF1","Tuberin","Tuberin_pT1462","VAV1_Caution","VEGFR2","VHL_Caution","XBP1_Caution","XRCC1_Caution","YAP_Caution","YAP_pS127_Caution","YB-1","YB-1_pS102"
"X639V_URINARY_TRACT",-0.086995,-0.041387,-0.117372,-0.517712,-0.052923,-0.166216,-0.027035,0.267021,-0.275317,1.082279,1.058388,-0.423193,0.03268,-0.39704,0.299896,0.617534,-0.284912,-0.158435,0.039173,0.68901,-1.258266,-0.125442,0.049561,0.674974,0.5766,0.534856,0.365177,0.005734,0.122748,0.436875,-0.125424,-0.261156,-0.335848,0.100825,0.420799,0.088838,-0.684664,0.012509,-0.101777,-0.047579,0.096651,0.289121,-0.324947,0.008287,0.189419,0.163118,0.295636,1.052832,0.434637,-0.700426,0.083921,1.58079,-0.153882,-0.059812,-0.036179,0.040115,0.445791,-0.075658,0.042439,-0.16239,0.117747,-0.462772,-0.288515,0.97004,-0.117072,0.198678,0.288029,-0.191705,-0.380699,0.029569,-0.150286,0.306933,-0.294265,0.18317,-0.40345,-0.000864,-0.262272,-0.109465,0.017856,0.187068,0.053232,0.116259,-0.112808,0.784307,-0.264906,1.528733,-0.359101,0.029651,0.853969,-0.171005,0.477836,0.5042,0.330707,0.267575,0.207125,-0.003204,-0.77507,0.021228,-0.02441,-0.646526,0.090325,-0.222203,0.075503,-0.910377,0.248441,0.500653,0.55126,-0.344559,0.225535,0.649842,-0.573793,-0.456696,-0.109096,0.052466,-0.187542,-0.546751,1.073689,-0.139396,-0.517936,-1.94434,0.090307,-0.011544,0.310714,0.508835,0.061056,-0.11323,-0.216555,0.365062,1.286742,-0.613961,-0.389005,3.878083,-0.269028,-0.244227,0.101068,-0.161738,-0.081995,0.12337,0.277554,1.590102,0.647936,0.2787,-0.09923,-0.101134,-0.219424,-0.067133,1.722669,-0.29004,0.605174,0.187756,-0.876096,-0.118108,-0.149758,-0.016392,-0.037913,0.345338,-0.032398,-0.010566,0.150489,-0.250745,0.22911,-0.543564,0.098549,0.374937,-0.325348,-0.239705,-0.867439,-0.224215,-0.058796,0.295329,0.190655,-0.440119,-0.272586,0.177206,0.723157,0.212094,0.086355,2.607988,1.806312,-0.048182,-0.328235,0.137667,-0.541045,-0.214955,-0.421365,0.079443,-0.121212,0.096363,-0.462549,-0.37831,0.805552,-0.217006,-0.357105,0.100283,0.297945,-0.118856,-2.016555,0.256406,0.149777,0.243984,0.144993,0.624168,-0.059647,0.067121,-0.26043,-0.597903,0.861977,-0.489667,0.53676,0.08296,0.676978,0.825132,0.039108,0.008322
"A172_CENTRAL_NERVOUS_SYSTEM",-0.001497,0.408946,0.345673,0.643447,1.286084,1.326648,0.541028,-2.437365,-0.210335,0.800332,0.504781,-0.748347,-0.009142,-0.714754,1.005369,2.835798,2.707102,0.215924,0.191378,0.014586,1.01207,0.350766,-0.075123,0.579136,-3.290931,0.078211,-0.184677,0.738318,-0.360248,-1.419096,0.251643,0.078793,0.088944,0.150427,0.070802,-0.232304,-0.506212,0.044716,0.118799,0.169123,-0.149551,-0.014201,1.091242,-0.161975,-0.060336,-0.881106,0.153262,-0.094071,0.029358,-0.336286,0.417563,0.218606,-0.191304,-0.205104,1.000784,-0.011507,-1.101643,-0.542037,-0.424098,-0.230122,-0.053347,-0.508396,-0.131782,-0.426087,0.126826,0.301692,-0.451705,1.401791,0.205655,-0.590054,-1.097739,0.456189,0.127228,1.144118,1.90715,0.149276,0.141717,-0.60875,-0.182763,-0.206879,-0.229358,0.466224,-0.465832,0.189785,0,-1.745609,-0.046659,0.131858,-0.189046,0.501427,2.100506,0.601457,-0.77298,1.085849,0.510121,1.57339,1.810212,0.685533,0.858136,-0.263705,-0.1943,0.170125,-0.339865,0.024968,-0.013302,-0.24025,-0.516784,0.518159,0.302154,-0.388468,-0.0539,2.107295,-0.155519,0.378139,-0.272033,0.022975,0.291852,-0.087994,0.111237,-0.175001,-1.304172,-0.473487,-0.497813,-0.470502,0.696632,0.169086,0.353281,0.233963,-1.968743,1.464729,-0.79793,-1.137129,1.09427,-0.139314,-0.222776,-0.341431,0.428714,0.817491,0.804079,-0.349002,1.389741,0.33256,1.99239,-0.354886,-0.368113,0.544471,4.227332,-0.466901,1.545126,-0.20825,-0.79006,0.399289,0.471074,1.212189,-0.120097,0.382348,0.103721,1.21868,1.123504,0.272393,0.414174,-0.297428,-0.042932,1.301614,0.078972,0.049246,-2.964892,-0.341557,-1.269769,-0.526815,-0.55374,-0.428106,-0.373615,-1.32391,-0.710038,0.137231,-0.626392,1.372976,1.263661,-0.371465,-0.229791,-0.407584,0.434288,0.96735,0.033437,-0.083312,-0.546932,-0.08769,-0.270964,0.37447,0.637,0.850346,-0.207754,0.109148,0.499404,0.125236,-1.930854,0.217552,0.086621,0.044462,-0.091833,0.563383,-0.194789,-0.619871,0.528069,-0.058737,0.711275,-2.372595,0.014939,-0.257605,-0.045112,-0.213384,-0.170663,0.57483
"A204_SOFT_TISSUE",0.212599,-0.015315,-0.073118,0.231262,0.615794,0.334846,0.322902,1.051447,-0.262943,0.702516,-0.066404,-0.69692,0.037203,-0.178978,0.670074,1.267797,0.921788,-0.802115,-0.124488,0.081774,-1.938672,-0.09666,-0.281642,-0.372667,0.137639,0.095006,0.058235,0.132845,0.038201,-0.047866,0.264447,-0.460377,0.330251,0.053278,-1.234224,0.06876,-0.167793,0.013288,-1.46265,-0.758777,-0.081893,-0.336521,0.130289,-0.169881,-0.069336,-0.306427,0.495017,0.25086,-0.019657,-0.296735,-0.16084,-3.418458,0.388239,-0.082593,-0.783647,0.030257,0.115906,0.047042,0.605746,-0.18978,0.283023,0.336006,0.007635,0.345788,-0.2483,0.039287,-0.082772,-0.025,0.145548,-0.350139,-1.203833,1.709982,-0.159045,-1.13355,-0.416199,-0.024669,0.232932,-0.086318,-0.045748,-0.040214,0.227592,-0.037346,0.772948,-0.654722,-0.825887,-0.166,-0.244391,0.058092,-0.046665,-0.18809,-1.270041,2.107354,-0.429158,-0.714669,-0.064103,0.692262,0.440501,0.682752,0.143545,-0.357003,-0.056745,0.366289,0.19619,-0.956607,0.048702,-0.571898,0.332717,-0.353088,0.093057,0.230732,-0.421111,0.425758,1.013377,0.563667,-0.298422,0.039345,1.201404,-0.038079,-0.04091,0.532586,-0.321776,0.173719,-0.070973,0.415024,0.221937,-0.19166,-0.588879,1.095153,1.946476,0.06458,-0.08016,-0.012241,-0.616337,-0.183496,-0.045248,-0.017483,-0.062129,-0.221236,0.122976,-0.433941,-0.735434,0.31886,0.486628,0.223448,0.045802,0.710916,-0.551857,-0.236857,0.468639,0.421653,0.255194,-0.1703,-0.249903,-0.01172,2.315361,-0.466729,-1.361542,0.50869,0.352303,-0.026998,0.557888,-0.651205,0.034809,0.458889,-0.039296,-0.428972,0.659217,-0.34142,-0.215721,0.219212,0.02094,0.024682,-0.333643,-0.170975,-0.399618,0.108157,0.050691,1.440049,1.706992,0.3862,0.058942,-0.007362,0.241843,1.818272,-0.797661,-0.194578,0.06667,-0.067901,-0.179683,-0.100287,-0.28911,-0.426322,0.852874,-0.157076,-0.352811,-0.049857,-0.959802,0.551318,0.419063,0.021876,-0.032585,0.27987,0.764605,0.212744,0.047016,-0.021189,-1.403703,-1.337349,0.562184,0.147608,-0.109614,0.332007,0.122626,0.912686
"A2780_OVARY",-0.112724,0.079082,-0.431161,0.753555,1.025781,1.357088,0.448512,1.171533,-0.36258,1.241238,1.34047,-0.60148,-0.104317,0.520465,0.157331,2.036728,1.563681,-0.581854,-0.297524,0.220758,-1.920736,-0.262003,-0.051937,2.279348,0.998341,-0.536133,0.464126,-0.2018,0.170315,0.225698,0.666966,0.178058,-0.153689,-0.003971,-1.197236,-0.22287,-0.601943,0.076733,-1.5151,-0.796101,-0.435365,-0.536674,0.162785,-0.358732,0.116468,-0.324088,1.145341,0.759765,0.529028,0.4804,0.155752,-2.953479,0.122054,-0.169179,-0.723632,0.759428,0.266345,-0.04845,0.899534,0.066174,0.208774,-0.559576,-0.162663,0.165418,-0.152302,0.938809,-0.057813,0.008582,0.205241,0.059685,-1.46867,0.461781,-0.150363,-0.881994,-0.250194,0.074589,0.399887,0.18542,-0.122472,0.170418,-0.145612,-0.298063,-0.009772,0.135967,0.110436,-0.618998,-0.277185,-0.182949,-0.907061,-0.701046,-0.246654,-0.699969,-0.534699,0.001563,0.080264,0.717025,0.460786,0.134747,-0.190813,-0.732946,0.03087,-0.002779,-0.187002,1.092512,-0.085187,-0.504317,0.265314,-0.28984,0.132881,0.81774,0.455774,0.659977,0.348226,0.964844,-0.145074,0.309441,0.057816,0.009144,0.957078,1.010359,0.368173,0.201118,-0.085787,-0.870526,0.05984,-0.186648,-0.864615,-1.32014,0.000122,0.228882,-0.534954,-0.475323,0.352765,-0.041524,-0.092565,-0.115412,0.057731,0.17175,-0.035266,-0.273596,-0.382227,0.449106,0.853506,-0.00858,-0.042497,0.614369,0.446293,0.288086,-0.151359,0.17075,0.123906,-0.248924,-0.069544,-0.275682,0.174083,0.201365,0.032625,-0.901234,-1.493773,-0.481473,-0.089417,0.605515,-0.002974,0.429183,-0.356683,-0.465292,-0.116688,-0.4392,0.155529,0.110321,0.469599,0.045529,-0.307817,-0.020985,-0.767811,-0.061485,0.069967,-0.369865,-0.53024,0.31958,0.086374,0.226452,0.202933,0.360072,-0.174004,0.07564,-0.117658,0.184159,-0.244061,-0.178344,0.929666,0.582706,0.010407,-0.417398,-1.256976,-0.153983,-1.984806,-0.195191,0.52828,0.658499,-0.34708,0.253031,0.063644,0.225303,0.045195,-0.297502,-1.640315,-1.419885,0.583132,0.071216,0.306154,0.29162,-0.046844,0.001066
"A673_BONE",-0.294906,0.232804,-0.654378,0.960855,0.433676,1.129376,0.336925,0.597362,-0.109805,-0.28611,-0.762442,0.150809,-0.012602,-0.042627,0.089189,-0.206629,-0.135232,-0.182598,0.022158,0.826562,-0.078207,0.006921,-0.126012,0.534828,1.399808,-0.485307,0.132158,0.175626,0.233563,0.094785,-0.012422,1.49148,-0.332624,-0.084442,-0.3242,-0.135414,-0.756477,0.058312,-0.376082,-0.21221,-0.218172,-0.056298,1.625667,-0.320706,0.071056,0.353583,0.528389,0.501978,0.014317,0.49657,-0.191563,4.239711,0.054109,0.12396,-0.701436,-0.408314,0.288401,0.02984,0.715439,0.394607,-0.076205,-0.59026,-0.051017,0.189635,0.079116,-1.09977,-0.232,0.071772,-0.045382,-0.219956,-1.263574,-0.246028,0.239402,-1.136099,-0.74115,0.03041,-0.027227,-0.839256,-0.057971,0.105409,0.01083,-0.18893,-0.292112,0.232628,2.388743,-0.021065,-0.18224,-0.177534,-0.417855,-0.107817,1.048594,0.222989,-0.135422,-0.248873,-0.097976,0.204013,-0.139374,-1.17143,-0.696853,-0.600227,0.003397,0.25488,-0.083641,2.386449,0.094024,0.439871,0.244811,0.43618,-0.322014,0.539869,0.044186,-0.0152,0.058842,0.038119,-0.115228,0.733767,-0.12171,0.049776,0.611366,0.892383,0.33702,0.011398,-0.066654,0.006998,-0.102218,0.085634,-0.433737,-0.596275,-0.159938,0.202048,-0.540363,-0.845109,-0.407185,0.13455,0.121111,-0.07429,-0.103142,-0.058582,0.617596,-0.51074,-1.671036,0.139541,0.369492,-0.639598,0.146637,0.161139,-0.700167,-0.121543,0.075085,0.045688,0.985243,-0.049995,-0.057155,-0.325537,-0.071083,0.458279,0.341778,0.008687,0.106723,0.668362,0.96108,0.267161,-0.017937,-0.014781,-0.02006,2.921504,0.509707,0.651219,0.053421,-0.07195,0.235559,0.375124,-0.326679,0.458596,-0.102622,-0.231669,-0.926639,-0.638867,-1.011926,0.268693,0.233813,0.279335,-0.214726,0.55319,-0.007119,0.315235,-0.035578,0.440546,-0.12649,-0.299505,0.769621,0.726614,-0.493953,1.177208,-0.052951,0.538701,1.373441,-0.254419,-0.370364,-0.324374,-0.475106,0.194239,-0.174977,0.479978,0.47414,5.283571,-1.03551,2.257378,0.059475,0.015758,0.332223,1.256006,-0.092911,-0.196455
"ASPC1_PANCREAS",0.404863,-0.200637,0.737979,-0.15371,-0.28224,-0.099987,-0.408458,-0.434957,-0.031708,0.292516,-0.242,0.071994,-0.291576,-0.631522,-0.42766,-1.175204,-0.720076,-0.648108,0.680638,0.705124,-0.453351,-0.016176,-0.5791,-0.690435,0.116174,0.078925,0.09644,0.359685,-0.262364,-0.083405,-0.064079,-0.833808,0.477776,-0.133864,-0.69705,-0.234318,-0.604996,0.100573,-1.769862,-1.265872,0.25774,0.206615,-0.505179,-0.012516,-0.160869,0.113629,-0.117496,-0.074811,0.051449,0.066405,0.258733,-0.950704,0.064373,-0.549439,1.249254,1.440753,-0.013085,0.197098,0.077308,0.090906,-0.009611,1.524524,0.148253,0.004223,-0.028324,-0.339446,-0.256105,-0.352581,-0.012789,-0.229447,1.83654,1.121567,0.807618,2.024789,1.126537,0.050079,-0.058599,-0.846747,-0.409918,0.035096,-0.049869,0.374694,0.589791,-1.095126,-1.463016,-0.343736,-0.404009,0.169765,0.911115,-0.338059,-0.020628,-0.032454,-0.23875,-0.602385,-0.271869,0.594745,0.460651,0.769835,0.399337,1.808876,-0.036193,-0.472767,-0.43701,-0.536297,-0.410243,0.486781,-0.388627,0.981843,-0.138314,0.032608,-0.053276,1.270833,0.312041,0.040336,-0.261066,0.597628,0.006757,-0.310464,-0.668736,-0.420558,-0.171515,0.293694,-0.220105,0.899132,0.002393,-0.450452,0.893604,1.760855,-0.166294,0.00647,-0.586088,1.103528,-0.782266,-0.341995,-0.23612,-0.152408,-0.081961,0.077048,0.992525,-1.088245,0.836264,-0.314408,-0.183067,0.367395,0.738921,1.297933,0.024697,-0.522148,0.367757,0.106067,1.357617,0.464681,0.561551,-0.241578,1.720669,-0.353285,0.079588,0.521281,0.739993,0.218781,0.911636,0.511028,-0.312746,-0.296234,-0.208673,-0.993058,0.75223,-0.923463,0.176869,-0.606047,-0.279819,-0.029823,-0.592268,-0.177412,0.318647,0.720576,0.58508,1.20668,1.321189,-0.155536,-0.356074,-0.30853,0.011912,-0.071369,0.005418,0.094709,0.399737,-0.543837,-0.467642,0.560948,0.091057,0.338521,-0.957079,-0.24701,0.624583,0.125031,2.146063,-0.206129,-0.223842,1.069651,2.745242,0.907363,0.487696,0.368162,0.477504,-0.68798,2.028262,0.407897,0.000439,-0.446418,-0.003445,0.413738,-0.248885,0.42769
"AU565_BREAST",0.061856,0.026326,-0.293987,-0.982703,-0.559906,-1.254418,-0.390565,0.095034,0.300067,-0.032555,-0.316859,0.279779,0.345845,0.45681,-0.051603,1.410336,0.937085,-0.387345,-0.439604,-0.245985,-0.944519,0.427651,0.705149,0.561985,-0.300033,0.512713,0.51681,-0.21833,0.080345,-0.495598,-0.814839,-0.023511,0.13617,-0.099286,-3.562604,0.110808,-0.502098,0.036411,0.493102,0.399528,0.380039,-0.153977,0.30616,-0.153869,-0.04818,-0.390473,-0.900688,-0.647515,-0.015915,0.205855,-0.113138,-2.532068,0.190047,0.513718,-0.368101,-0.360708,-0.708406,0.083507,0.05513,0.21033,-0.357771,1.801239,-0.174096,-0.997379,-0.240727,0.066984,-0.146326,0.035081,-0.171973,-0.447334,-0.232386,0.320463,0.463217,-0.233529,2.48469,-0.016246,0.197478,-0.131107,0.373874,0.106836,0.422509,0.054047,0.446387,2.139679,-0.927207,-0.510189,0.090908,0.221474,-0.575486,3.696761,-0.780364,1.481835,0.059786,-0.311048,-0.189911,0.043239,0.033332,4.671134,4.203564,0.722092,0.432186,0.209826,-0.036568,-0.047363,0.668802,-0.299692,-0.147231,0.030838,0.327366,-0.599422,-0.379811,0.669915,0.138349,-0.078328,-0.60317,-0.166774,-0.096634,0.007725,-0.271044,-0.266912,0.07934,0.226541,-0.355571,-0.480122,0.163542,0.196605,0.576975,-0.272322,-0.129307,-0.202606,0.022002,-0.104528,-1.241453,0.07772,0.447108,0.060087,-0.2688,-0.430425,-0.539441,0.282204,-0.094031,-0.48645,-0.319378,0.271525,0.116385,0.444764,-0.193912,0.160621,-1.06889,-0.171288,0.202151,0.359705,0.448598,0.070403,1.017586,-0.156445,-0.770826,-0.438084,-0.178196,0.449249,0.573213,0.582653,0.111238,-0.048055,0.762509,2.556903,0.091793,1.537962,-0.045307,-0.261526,-0.101478,-0.310584,-0.678844,0.542125,-0.168017,-0.201897,0.474524,0.29917,0.116263,0.173638,-0.037424,-0.152027,0.399606,0.060949,-0.542117,0.098272,-0.160429,-0.030029,0.065042,-0.477952,-0.181092,-0.803421,1.384371,0.027768,-0.208025,-0.306723,-0.272343,-0.16616,0.538868,-0.386043,-0.286551,-0.579771,0.210049,-0.664445,0.044849,0.562434,-0.196016,3.788251,0.384709,-0.186325,-0.032694,-0.635673,0.086141,-0.221833
"BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.062031,-0.089889,-0.327767,-0.835238,-0.393764,-0.423877,-0.437479,-0.737682,0.208521,-0.510684,1.104444,1.214396,0.002792,0.146502,-1.267084,1.606895,-0.179029,-0.943983,-0.444731,-0.661868,-1.429513,0.023015,-0.091689,1.488615,0.459035,1.387304,1.1408,-0.20268,0.130808,-0.020907,0.415406,1.215063,-0.709046,0.140649,-4.386874,-0.104162,1.119322,-0.235587,2.371353,1.832242,-0.369751,-0.158206,-0.187431,-0.162092,0.099628,0.336608,0.989738,0.140453,-0.010394,-0.059634,-0.005653,-3.330545,1.205471,0.18156,-1.027284,-0.073799,2.024721,0.898035,0.366751,0.30721,0.08919,-0.446314,-0.721853,1.82203,-0.575854,0.106675,0.170669,-0.01271,0.037031,-0.304637,-1.148779,0.495845,-0.399511,-1.560223,-1.003557,0.015181,0.455764,0.712247,0.185076,0.127286,-0.238845,0.001006,0.808188,0.774561,-0.926845,0.306888,-0.129569,0.16758,-0.4822,-0.908852,-1.144943,-1.36924,-0.68178,-0.778233,-0.196609,-0.070564,-0.658503,-2.333341,-0.777883,-0.930865,-0.092731,-0.290235,-0.12574,0.201574,0.012469,-0.556249,0.061644,0.087547,-0.48928,0.003101,3.131241,-1.174825,-0.202438,1.069002,0.320409,-0.853623,-0.04841,0.233864,0.953523,0.822404,0.021237,-0.019774,0.3303,-1.016848,-0.299985,0.163178,-0.142631,-1.542034,-0.263361,-0.541991,-0.568691,2.096825,0.223433,0.378919,0.141578,0.108386,0.286779,0.369502,0.260553,0.948202,-0.072468,0.202221,0.959108,0.101883,-0.029956,-0.654611,-0.408397,0.010573,-1.899339,0.799748,0.938538,0.097521,0.027353,-0.178282,0.091767,0.570895,0.660281,0.678831,0.634055,0.20044,-0.081447,-0.06608,0.197269,0.387024,0.235023,-0.046306,-1.186721,-0.153301,-0.038438,1.404402,-0.077942,0.614898,1.774262,0.494253,-0.65434,-0.286889,0.288882,1.696136,1.917997,-0.175103,0.29501,0.554571,-0.318898,-0.379528,-0.34816,0.175585,-0.002196,0.23959,-0.144666,-0.886496,0.538932,-1.439698,-0.796325,-0.667068,-0.878549,0.854075,4.731831,-0.582114,0.162416,-0.091287,-0.317563,-0.043353,0.319175,0.497171,-0.068614,4.800456,-1.777793,-2.228675,0.215269,-0.308415,-1.017282,-3.127492,0.075881,-0.257681
"BXPC3_PANCREAS",0.04829,-0.278535,0.320349,-0.130653,-0.606126,-0.846402,-0.127646,0.203709,-0.280754,0.984327,0.568932,-0.323441,-0.114063,-0.276031,0.383361,-0.459642,0.091174,0.921046,0.496423,0.885671,0.280613,-0.080242,0.044439,-1.869809,-0.355563,-0.725894,-0.24899,0.211217,0.050542,-0.118722,-0.272639,-0.363248,0.708187,-0.167661,2.248514,0.133292,0.254357,0.183665,-1.12722,-0.618148,0.169118,-0.227451,-0.500607,0.26277,0.120471,-0.063759,-0.86811,-0.523018,-0.199913,0.592052,0.050946,4.259649,-0.033259,-0.082911,2.360867,0.226827,0.041473,0.192506,-0.162813,-0.150237,-0.123008,3.266396,-0.205588,-0.02495,0.054404,0.18079,0.078438,-0.119937,-0.293492,-0.22865,3.785503,0.380277,-0.20882,0.973554,0.958158,0.128897,0.049009,0.074998,-0.037763,0.146112,0.147662,-0.136827,0.419515,-0.00064,-0.152062,-0.104819,-0.061231,-0.211439,0.617094,1.516486,-1.719924,-0.531001,0.323171,-0.026113,0.155476,-0.765777,-1.129196,0.896619,0.533771,0.940162,0.232687,0.292704,-0.061046,1.031302,0.142046,-0.051677,0.466807,-0.123879,-0.384888,0.085256,0.748273,0.570276,0.708151,-0.348707,0.282234,0.988235,-0.011174,-0.120113,-0.535514,-0.182693,0.283031,-0.011866,0.057122,0.42688,0.178265,-0.19729,-0.617539,-0.494401,-0.291768,0.955831,-0.077934,-0.63817,-0.159034,-0.48329,-0.043156,-0.06606,-0.146985,-0.360647,-0.44982,1.477322,0.200597,-0.682449,-0.16704,0.331035,-0.098423,0.592373,2.459604,-0.207468,-0.558111,0.245526,-0.473252,-0.228769,-0.169722,-0.385169,0.873714,-0.488246,-0.188385,-0.246264,-0.505566,-0.023922,-0.136017,0.287755,0.165923,-0.112465,0.04972,-0.055286,-0.359688,0.878469,0.060945,0.348982,-0.145904,0.082832,0.29048,0.688257,-0.284833,-0.212119,0.625912,0.691002,0.817502,0.158114,1.20163,0.018793,0.420415,1.875662,0.220101,-0.036669,0.389235,-0.670988,-0.128728,0.787324,0.5201,0.187086,-0.347353,0.696167,-0.302604,-0.299727,2.449889,0.267814,0.639902,-0.058882,1.575106,-0.627016,0.652757,-0.133124,-0.459399,-0.375953,1.40928,1.826442,0.246453,-0.023116,0.202497,1.109477,0.058121,0.618579
"CAL851_BREAST",-0.173878,-0.111235,-0.131147,-0.456831,0.427919,0.238743,0.645635,-0.482194,1.135013,-1.442066,-1.216649,0.421489,-0.222698,0.045214,-0.692114,-0.549576,-0.491899,0.868068,-0.185067,-0.92392,1.243368,0.354712,-0.271102,-0.972831,-1.666488,-0.771471,-1.023433,-0.079982,0.005692,-0.630668,-0.461574,-0.937316,-0.124975,-0.346711,0.909644,0.207469,1.163197,0.019427,0.462215,0.335521,0.24719,0.586712,-0.294169,1.096449,-0.10772,0.634178,-1.013623,-0.53527,-0.116286,0.304401,0.21185,2.362602,-0.566595,1.232742,2.414249,0.162945,-0.68457,-0.2549,-0.519735,-0.249297,0.012309,3.872813,1.629886,0.345316,0.209042,0.989967,0.29495,-0.149522,-0.767847,0.212538,3.671703,-0.728206,-0.184352,1.689097,1.189898,-0.153714,-0.129352,-0.425607,-0.094864,-0.224487,0.636498,0.306384,-0.108334,-1.172948,2.253713,0.113188,0.717276,-0.110266,1.084787,1.241469,0.019473,-0.386288,0.908012,-0.563236,-0.697421,-0.392193,-0.62646,0.988908,1.063255,-0.206493,-0.061753,-0.641432,0.207132,-0.311048,-0.024947,-0.251555,-0.408544,0.983714,0.064009,-0.525452,0.050748,-0.448602,0.095043,-0.432723,-0.060158,-0.510449,0.14495,-0.153255,-0.006419,-0.072711,-0.86914,-0.295423,0.444204,-0.525639,0.148606,0.068418,0.104763,0.001449,-0.228838,0.662657,2.247314,2.123881,-0.078613,-0.561867,0.048688,-0.152486,0.190915,0.177652,-0.031681,2.073281,0.755717,-0.528286,0.764073,-0.100656,-0.050029,0.356848,4.021284,0.689336,-0.232771,0.429386,-1.698557,-0.285484,-0.615571,0.286041,-0.287212,-0.546725,-0.42506,-0.909589,-0.886737,-0.430094,-1.01534,-1.107288,0.136679,0.567253,0.754148,-0.25453,-0.778696,1.737692,-0.242541,0.488228,-0.576173,-0.566767,1.321004,-0.664494,0.097649,0.175055,-0.038393,0.242884,0.45851,-0.076603,1.725728,-1.098037,0.586921,0.523213,0.912071,-0.46838,0.300965,-0.371627,1.133269,-0.30402,-0.17083,-0.096696,0.486227,1.695076,0.54775,-0.174443,2.321653,0.185808,1.903765,0.175494,1.42406,0.017195,-0.273903,-1.115936,-0.343061,0.275918,0.837948,-0.025885,-0.430762,-0.262779,0.231815,0.918823,0.319674,0.206713
